Name,Region,Lat,Lon,Rmin,Rmax,Ravg,Type
"Kabupaten Karangase , Bali Timur",Bali,-8.45742,115.5963,191,1000,596,
"Jembrana, Bali Barat",Bali,-8.3568,114.4435,16,441,229,
"Sanur, Sarangan, Tanjung Benoa dan Tuban (Badung, Denpasar)-Bali selatan",Bali,-8.5435,115.0274,0,24,12,
"Dusun Cemara Landung, Geopark Gunung Batur, Bangli, Bali Tengah",Bali,-8.4756,115.1387,252,1057,653,
"Kulon Progo, Yogyakarta Barat",Jawa,-7.82668,110.12288,22,105,64,
Gunung Kidul (Yogya Bagian Timur),Jawa,-7.9836,110.6996,5,27,16,
 Bantul (Yogya Bagian Selatan),Jawa,-7.8106,110.2795,1,10,5,
Bagian Utara Yogyakarta,Jawa,-7.8265,110.2792,17,150,84,
"Tangerang Selatan, Banten",Jawa,-6.3667,106.6333,2,10,6,
"Lebak, Banten",Jawa,-6.64325,105.86491,41,71,56,
"Serang, Provinsi Banten",Jawa,-6.11065,106.11782,600,900,750,
Kota Lama Semarang,Jawa,-7.4644,110.5554,15,50,33,
Kota Magelang,Jawa,-7.4031,110.5403,1,1,1,
Kota Surakarta,Jawa,-7.6179,110.8687,1,1,1,
Kota Salatiga,Jawa,-7.4942,110.6329,1,1,1,
Kota Pekalongan,Jawa,-7.1621,109.6626,1,1,1,
"Kota Tegal, kec.Kramat",Jawa,-6.8967,109.1882,1,1,1,
"Bledug Kuwu, Kab Grobogan",Jawa,-7.12855,110.56451,1,1,1,
"Desa Plangkapan, Kec Tambak, Kab Banyumas",Jawa,-7.6214,109.3803,1,19,10,
"Grasik, Jatim Utara",Jawa,-7.16492,112.61174,13,240,120,
"halaman belakang SCC ITS, Jatim Timur",Jawa,-7.28323,112.79371,1,117,59,
"DESA SUMBERMANJING KULON, PAGAK, MALANG, Jatim Selatan",Jawa,-8.3002,112.49159,1,100,51,
"Desa Wirotaman, Malang, Jatim Selatan",Jawa,-8.2524,112.85242,69,1400,734,
"Kabupaten Majalengka, Cicalengka, Sumedang Bdg Timur",Jawa,-6.67297,108.18192,4,20,12,
"Kabupaten Garut, Bdg selatan",Jawa,-7.23055,107.83983,1,46,23,
"Kabupaten Cianjur, Bdg Barat",Jawa,-7.35798,106.5365,1,1000,500,
Aceh Besar,Sumatera,5.6,95.36667,1,97,48,
Aceh Timur,Sumatera,4.3657,97.5312,6,120,63,
Kab. Bireueun,Sumatera,5.8,96.8,1,24,13,
Kota Langsa,Sumatera,4.48333,97.95,1,760,380,
Kab. Pidie,Sumatera,5.157137,95.90138,2,41,22,
Kab. Aceh Tamiang,Sumatera,-0.9884,93.1007,1,31,15,
Kota Banda Aceh,Sumatera,-0.8892,90.5061,1,10,5,
"Kabupaten Karo, Sumut",Sumatera,3.2333,98.5,2,22,12,
,Sumatera,3.23333,98.05,47,99,73,
,Sumatera,3.71667,98.05,209,442,326,
Medan,Sumatera,3.71667,98.85,2,16,9,
"Pantai Cermin Kiri, Kecamatan Pantai Cermin Provinsi Sumatera Utara.",Sumatera,3.63333,98.98333,14,968,491,
"Desa Huta Baru, kec.Sipirok, Tapanuli Selatan",Sumatera,1.58333,99.28333,5,60,33,
"Dusun Tapak
Kuda Desa Buluh Cina, Kec. Hamparan
Perak, Deli Serdang, Sumatera Utara",Sumatera,3.7064,98.5594,5,12,9,
"Pasaman Barat, Sumbar",Sumatera,0.26695,99.494,211,465,338,
"Cubada, Dua Koto, Pasaman, Sumbar",Sumatera,0.3324,99.514,7,20,14,
"Padang, Sumbar",Sumatera,-0.94708,100.37598,1,129,65,
"Solok, Sumbar",Sumatera,-0.2375,99.4294,80,3374,1727,
"Sawah Lunto, Sumbar",Sumatera,-0.15967,99.4701,1,46,23,
"Kabupaten banyuasin, Sumsel",Sumatera,-1.3062,99.4938,1,172,86,
desa Kenten Tengah yaitu di kelurahan Sukamaju (Kodya Palembang) dan Kenten Laut yaitu desa Kenten (kab. Banyu Asin),Sumatera,-1.3062,99.4763,100,200,150,
OKU Sumatera selatan,Sumatera,-2.4133,95.5171,1,30,15,
Bandar Lampung,Sumatera,-2.539,99.7513,1,120,61,
Lampung selatan,Sumatera,-2.679,99.1967,4,30,17,
Pesawaran,Sumatera,-2.6536,99.734,1,2,1,
